#Table1
specObjID,z,sigmaStars,sigmaStarsErr,redshift,bpt,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OIII_4363,Flux_OIII_4958,Flux_OIII_5006,Flux_NII_6547,Flux_SII_6716,Flux_OII_3728_Err,Flux_OIII_4363_Err,Flux_OIII_4958_Err,Flux_OIII_5006_Err,Flux_NII_6547_Err,Flux_SII_6716_Err,Sigma_OIII_4363,Sigma_OIII_4363_Err,Sigma_OIII_43631,Sigma_OIII_4363_Err1,Sigma_OIII_4958,Sigma_OIII_4958_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_Ha_6562,Flux_Ha_6562_Err,u,g,r,i,z1
300627396732676096,0.37413,291.0755,30.63475,0.374695,Seyfert/LINER,10.80015,4.865586,0,0,0.4306622,1.230464,3.420073,0,0,0,2.601655,7.4333,4.367633,0,10,0,10,0,73.85033,318.0505,0,0,0,0,22.31915,20.93771,19.20139,18.54775,18.19291
300648562331510784,0.3273709,293.8624,21.27917,0.3278055,LINER,3.499142,6.539975,0.7680423,0,0.04269731,0.1219923,0.6410362,0,27.12357,0,29.1935,83.41,7.560293,0,10,0,10,0,10,2602.236,0.07629211,135.0115,0,0,23.03169,20.26208,18.40085,17.79111,17.44111
300652135744301056,0.3742605,198.3547,24.93453,0.3746049,Seyfert,0.2484695,114.0751,1.648481,0,0.5420195,1.548627,0,286.4401,11.73184,0,2.092107,5.977448,0,416.9703,10,0,10,0,1.194673,220.0176,0,0,5.95274,10.05355,22.55158,20.80774,19.08903,18.42929,17.97858
300654059889649664,0.3902021,271.7617,26.82387,0.390614,Seyfert,16.59836,12.06245,84.54951,3.183464,10.61322,30.3235,6.636727,0,49.28416,11.1837,3.222051,9.205861,5.79313,0,134.6007,403.528,134.6007,403.528,266.8924,66.7145,0,0,20.01423,30.96098,22.61373,20.56815,18.72471,18.07136,17.65724
300665879639648256,0.3271964,278.3074,23.75687,0.3275905,Seyfert,9.707002,6.301396,3.033409,0,0.1294347,0.3698134,0,0,9.687267,0,13.1587,37.59628,0,0,1798.573,0,1798.573,0,10,1021.274,0,0,4.920126,22.95018,22.83535,20.74936,19.0104,18.31709,17.90212
300666154517555200,0.3713124,215.3358,21.92089,0.3715037,Seyfert,8.082294,2.894702,7.12842,0.8143039,1.639189,4.683398,0.1834235,4.039576E+23,5.201955,14.34956,1.769082,5.054519,37.62271,5.565794E+21,10.6539,489.1703,10.6539,489.1703,10.0909,97.21503,0,0,2.148204,57.6923,24.03052,21.29479,19.387,18.7676,18.34099
300670552564066304,0.3369062,257.6474,21.55027,0.3372886,Star Forming,6.151994,10.69971,4.425167,0,0,0,5.199606,0,35.29771,0,0,0,3.725256,0,10,0,10,0,10,0,6.989689,19.68966,27.1779,28.94861,23.1668,20.79442,18.92687,18.25395,18.00366
300680448168716288,0.3268483,239.1104,19.24646,0.327227,Seyfert/LINER,9.212374,22.92062,7.283602,0.8405112,2.951655,8.4333,5.032287,0,25.38418,60.4563,1.781007,5.088593,3.924136,0,10,851.7679,10,851.7679,166.6,97.10845,0,0,0,0,22.19288,20.3673,18.62243,18.00174,17.56045
300680997924530176,0.3711232,307.1233,25.17526,0.3714108,Seyfert,5.293788,5.082112,3.204795,4.647987,0.1350779,0.385937,2.875234,5.901667,7.756321,5.743511,13.26363,37.89608,4.362559,17.06924,10.00009,104.1195,10.00009,104.1195,10.00033,1093.88,0,0,4.009301,36.85798,25.50465,20.61273,18.64581,17.95321,17.58757
300681272802437120,0.3224198,248.2122,21.52743,0.322695,LINER,4.600651,23.87229,10.55696,0,0,0,9.449581,0,10.64778,0,0,0,8.602961,0,10,0,10,0,10,0,0.2201577,66.37421,6.981913,23.37813,22.10889,20.01312,18.21933,17.54027,17.09546
