# PLATE   MJD     FIBERID   Z   
5062   55803     748     0.10776602
5962   56265     884     0.27435994
6792   56432     119     0.20605520000000002
6760   56425     906     0.23476556
4360   55539     646     0.10635992
3647   55241     431     0.06684426
4376   55863     766     0.105842195
7686   57015     416     0.19676018
7604   56947     919     0.16053778
4391   55866     610     0.18338376
4391   55866     615     0.10275519
4458   55536     932     0.04132855
3761   55272     696     0.18943031
6722   56431     579     0.27987802
5114   55883     72     0.06400083
4391   55866     818     0.06952344
3661   55212     532     0.061965547999999995
6744   56399     991     0.27368864
6793   56430     46     0.24348977
4414   55882     142     0.30263776
5114   55883     188     0.099049956
6032   56067     248     0.2204159
4361   55831     430     0.1595557
4441   55532     744     0.13618129999999998
3586   55181     154     0.042023245
6015   56096     812     0.17166421
6793   56430     298     0.2331982
3647   55476     90     0.2861647
5136   55836     629     0.11275993
7636   56989     448     0.23647904
3586   55181     429     0.310369
4377   55828     488     0.23776701
4414   55882     520     0.13947596
4377   55828     616     0.04405939
5964   56098     358     0.25199005
5048   56218     77     0.08084422
5046   56243     478     0.032133993
4414   55882     639     0.07222778
5153   56577     494     0.31024316
6793   56430     890     0.31546935
5979   56329     264     0.24511664
3647   55476     439     0.0668129
6793   56430     993     0.09586499
5064   55864     58     0.06119013
6794   56448     23     0.20157938
3661   55614     530     0.06191926
5137   55833     200     0.07243264
5048   56218     360     0.16498697
5964   56098     659     0.13082149999999998
4414   55882     967     0.04495146
4460   55533     542     0.25902456
4415   55831     182     0.15704642
6033   56069     184     0.07096413
3587   55182     58     0.11250115
5173   56046     46     0.032154277
5048   56218     790     0.06809922
4378   55853     138     0.09184127
4460   55533     996     0.08744881
7823   56978     181     0.11815224
6709   56429     94     0.06361019
5979   56329     820     0.31398344
6795   56425     50     0.18856520000000002
3662   55182     122     0.21017477
6033   56069     542     0.06061659999999999
5965   56190     246     0.13080934
6709   56429     200     0.06395029
4393   55944     456     0.095480815
5173   56046     865     0.040038705
3662   55182     447     0.14105410000000002
5965   56190     484     0.13464412
3587   55182     677     0.12022984
4461   55888     962     0.13523807
4461   55888     964     0.2575131
3647   55827     423     0.066847146
3764   55514     752     0.0906763
4415   55831     946     0.21247478
5980   56338     352     0.22073898
5174   56047     483     0.03213882
6693   56384     961     0.20537171
6724   56416     966     0.24626779999999998
5065   55739     109     0.10920849
4394   55924     134     0.09313492
4462   55600     342     0.28637567
6051   56093     950     0.040743142
5965   56190     778     0.21459374
5049   56103     499     0.13355199
4416   55828     123     0.15421072
5049   56103     502     0.096566625
4462   55600     474     0.10665967
3587   55182     952     0.19434974
5980   56338     575     0.16391547
4394   55924     428     0.044489615
5065   55739     307     0.04871331
4379   55881     52     0.15372321
3683   55245     80     0.09849248
3588   55184     303     0.20082057
4394   55924     913     0.098389074
4416   55828     574     0.08190079
5138   55830     870     0.15736340000000001
4416   55828     588     0.108430795
3647   55945     48     0.28617865
4444   55538     198     0.11138348
4416   55828     669     0.05787906
7825   57030     454     0.16878587
3700   55542     962     0.083624855
5065   55739     692     0.0786598
6694   56386     633     0.25477663
5050   56215     62     0.07648666
3683   55245     487     0.14536694
6726   56394     111     0.16802584
5139   55866     82     0.15193008
4379   55881     464     0.09176749
5065   55739     802     0.10682326
5050   56215     152     0.07664580000000001
6726   56394     196     0.086286254
5117   55925     679     0.12791497
6694   56386     772     0.17219321
6053   56091     358     0.30686098
4395   55828     509     0.25217044
5117   55925     889     0.16803251
5139   55866     292     0.12657657
5117   55925     894     0.18243887
3647   55945     461     0.06681132
3588   55184     758     0.2801313
5997   56309     234     0.1835248
5050   56215     352     0.063162185
5139   55866     376     0.15573004
6053   56091     668     0.27890506
5997   56309     362     0.28055948
7608   56945     274     0.30298588
4464   55866     148     0.085643105
6053   56091     739     0.23568097
4444   55538     768     0.0775974
4395   55828     873     0.23052385
3647   55945     664     0.07413002
6018   56067     860     0.0971835
4395   55828     966     0.22886746
6798   56485     162     0.1135969
6035   56076     434     0.23949881
5118   55830     348     0.14931573
6798   56485     224     0.10115357
5066   55749     358     0.08040084
5997   56309     712     0.23029771
5066   55749     390     0.117017105
4364   55855     347     0.089025564
5118   55830     438     0.08448441
3664   55245     866     0.24537387
3684   55246     101     0.18692717
5981   56340     680     0.23331718
4380   55857     160     0.0730547
6798   56485     436     0.29215646
4445   55622     174     0.16740258
4364   55855     516     0.13447967
5050   56215     816     0.07742935
4417   55829     602     0.057477143
6748   56371     528     0.27441394
5066   55749     724     0.09972852
6798   56485     674     0.083912246
7640   57311     787     0.12615202
7826   56931     996     0.23774062
4417   55829     820     0.08182485
5982   56074     131     0.18727823
6748   56371     803     0.029006907999999998
5140   55836     290     0.15363503
4418   55862     9     0.10547523
5119   55836     230     0.070548795
3647   56219     425     0.06684043
4364   55855     944     0.16067334
6054   56089     718     0.20708326
6727   56369     874     0.1904887
4465   55858     284     0.029212566000000002
3665   55247     908     0.31141788
4465   55858     296     0.046954837
5982   56074     546     0.22137584
6799   56478     300     0.27870452
3590   55201     62     0.26340714
4418   55862     489     0.08125964599999999
5999   56089     24     0.07374122
4365   55539     384     0.24013704
3647   56219     824     0.24705194
4381   55824     122     0.17129226
6712   56421     10     0.18944414
6728   56426     442     0.05743613
5051   56214     844     0.075161345
6036   56093     642     0.07178525599999999
6712   56421     70     0.15115383
4418   55862     661     0.10407924
6055   56102     400     0.14300437
4418   55862     678     0.109879084
5119   55836     946     0.13877825
4445   55869     176     0.16743909
7828   57039     140     0.23804772
6728   56426     634     0.075194426
6799   56478     918     0.10731285
4418   55862     996     0.13355812
3686   55268     714     0.022842122000000003
3736   55214     116     0.18622133
4365   55539     970     0.14355242
4366   55536     26     0.26108304
4381   55824     568     0.13512349
5052   55857     372     0.15884437
6055   56102     932     0.10813325
4419   55867     234     0.15378770000000003
5067   55751     932     0.11206692
6712   56421     512     0.20253220000000002
6712   56421     576     0.14186443
4466   55857     772     0.044915445
3647   56568     433     0.06681543599999999
6712   56421     594     0.22007883
6712   56421     604     0.28315523
3647   56568     492     0.25415456
5068   55749     76     0.10848594
3667   55186     180     0.20576076
4398   55946     558     0.13227181
5068   55749     130     0.14433813
5068   55749     144     0.25810766
3647   56568     622     0.07413332
4366   55536     632     0.065079026
5052   55857     998     0.13561253
4381   55824     962     0.10335681
7829   57011     693     0.16873223
3606   55182     494     0.08351964
4419   55867     867     0.08511924
5068   55749     318     0.11315222
4446   55589     68     0.20668852
3606   55182     623     0.2794762
4366   55536     908     0.16690978
6057   56099     259     0.07085982
4382   55742     62     0.09190718
3736   55214     842     0.31348866
5053   56213     331     0.14969912
6802   56456     26     0.09342567
6802   56456     70     0.12543453
3667   55566     170     0.20583911
4382   55742     330     0.092298165
4367   55566     252     0.06755099
6057   56099     904     0.21839549
4468   55894     364     0.092415385
5969   56069     946     0.07582458
4382   55742     414     0.29287457
6730   56425     458     0.06665501
3667   55566     310     0.12802382
4367   55566     526     0.09815081
6751   56368     532     0.24024156
5122   55841     106     0.07913343
5970   56046     284     0.24254887
5054   56191     24     0.20048577
4382   55742     704     0.1376615
3647   56596     423     0.06683187
3609   55201     510     0.13558470000000003
3667   55566     936     0.099371634
4400   55509     248     0.17257018
5054   56191     188     0.26837787
6058   56090     946     0.2156263
6752   56366     10     0.07274709
6022   56076     724     0.061960466
6713   56402     820     0.28651774
7612   56972     210     0.03521879
3668   55478     186     0.31128606
3609   55201     818     0.07640061
4368   55559     160     0.08698254
4368   55559     208     0.12385531
4368   55559     220     0.21521325
4368   55559     228     0.31138173
4400   55509     771     0.062080767
6804   56447     23     0.22184314
3745   55234     244     0.12317974
5143   55828     921     0.19650954
3668   55478     610     0.2809098
3668   55478     634     0.2611067
4421   55858     660     0.11000113
3615   55179     200     0.21443501
6060   56074     45     0.018260814
3650   55244     7     0.18047166
5054   56191     814     0.107655115
5054   56191     842     0.1310297
5123   55841     326     0.2804662
5054   56191     875     0.10491507
4470   55587     493     0.07534535
4383   55881     320     0.08962722
6002   56104     643     0.07551192
6782   56572     560     0.21660121
5054   56191     910     0.063190944
4470   55587     582     0.04173055
3615   55179     427     0.06683443
6804   56447     638     0.23946616
4422   55533     240     0.07627466
6002   56104     966     0.0581357
5183   55976     219     0.20095655
5055   55889     142     0.1360513
5160   55895     414     0.1791188
5183   55976     312     0.20908597
5123   55841     782     0.08447864
3615   55179     622     0.074154384
6732   56370     414     0.12634622
5055   55889     257     0.11519787
6023   56069     980     0.09653702
5123   55841     896     0.22169217
6753   56399     302     0.055799343
5055   55889     312     0.3040418
7653   57306     798     0.049976177999999996
7627   56933     968     0.22172113
5106   55833     152     0.14143206
7653   57306     847     0.049908344
5106   55833     176     0.13833803
6060   56074     961     0.27525938
7694   57359     594     0.12824072
5144   55829     908     0.18047409
3751   55234     225     0.20820719
5124   55894     120     0.06097858
6782   56576     524     0.21669726
4448   55538     676     0.09312365
5124   55894     212     0.29328835
4401   55510     952     0.14244121
4471   55617     758     0.029211065
4422   55533     794     0.12680648
6732   56370     928     0.22932576
3669   55481     792     0.11747306
6061   56076     470     0.25451186
6805   56442     816     0.12565365
7628   56978     356     0.22916684
5184   56352     260     0.09628349
5124   55894     444     0.068483904
6003   56311     740     0.2739267
5971   56064     136     0.16063668
6024   56088     608     0.048274178
4423   55889     60     0.04204091
5161   55968     224     0.3105735
5985   56089     868     0.028433796
3615   55208     423     0.06689266
6061   56076     972     0.037637137
5124   55894     657     0.30921704
6062   56091     78     0.062345832999999996
3751   55234     824     0.28876376
6038   56090     694     0.07137981
5056   55921     42     0.043646924000000004
5161   55968     504     0.051859695
4423   55889     354     0.068915024
4449   55544     340     0.31873488
3615   55208     622     0.07412727
5125   55863     125     0.09153029
4370   55534     21     0.19245292
5161   55968     744     0.07116262599999999
6715   56449     564     0.28367418
