# PLATE   MJD     FIBERID   Z   
4413   55894     164     0.10588764
7665   57328     394     0.013997495
5135   55862     632     0.20578302
7604   56947     592     0.039146744
4360   55539     487     0.12021586
5046   56243     776     0.12684512
4360   55539     490     0.09248492
4360   55539     565     0.15655594
4413   55894     484     0.061578627999999996
6015   56096     61     0.23015833
5135   55862     926     0.23693788
5047   55833     24     0.30826584
5963   56191     370     0.087398954
6744   56399     601     0.25189903
6691   56413     728     0.08287471
7665   57328     912     0.23900382
5047   55833     198     0.3124741
5963   56191     496     0.09132169999999999
4361   55831     48     0.059642136
5136   55836     236     0.06383327
5136   55836     238     0.06876468
5136   55836     254     0.07171103
6692   56390     188     0.08724953
5047   55833     620     0.06788079
3681   55243     836     0.15890862
3586   55181     77     0.20068108
7666   57339     299     0.3116659
6015   56096     801     0.26098874
5964   56098     47     0.10283238
5136   55836     540     0.060819622000000004
4414   55882     252     0.30249277
3681   55243     989     0.31687552
7605   56949     669     0.31263754
6745   56425     166     0.28560174
3586   55181     288     0.058112405
4414   55882     335     0.3040305
5964   56098     177     0.10610868
5136   55836     646     0.05698614
4361   55831     662     0.29785436
4414   55882     466     0.062039092000000004
4361   55831     722     0.30366909999999997
5048   56218     12     0.13354911
5048   56218     20     0.08163833599999999
3682   55244     218     0.28704304
4361   55831     759     0.20145506
3586   55181     472     0.046100933
5964   56098     361     0.14377703
4414   55882     596     0.054492503
5136   55836     899     0.22965102
4414   55882     620     0.30346906
5964   56098     428     0.065085895
3586   55181     579     0.2310201
3682   55244     442     0.23339051
5964   56098     504     0.19224344
5048   56218     227     0.30022459999999995
5048   56218     260     0.1215123
7606   56977     124     0.0777447
3586   55181     690     0.22083809999999998
4361   55831     978     0.060073945999999996
5137   55833     186     0.12317871
3586   55181     766     0.22984314
4414   55882     934     0.06182887
7606   56977     234     0.038908042000000004
7669   57329     115     0.21572919
4414   55882     964     0.04523412
3586   55181     936     0.20888105
5137   55833     368     0.18622260000000002
6016   56073     668     0.08668869
5964   56098     913     0.26944944
4415   55831     218     0.09454223
4415   55831     228     0.10445342
5964   56098     970     0.087043636
3587   55182     148     0.044939384000000006
5048   56218     725     0.19284448
4415   55831     291     0.09627008
4415   55831     304     0.09663882
4415   55831     342     0.095938385
