# PLATE   MJD     FIBERID   Z   
6691   56413     154     0.30520043
4363   55537     610     0.30842263
3606   55182     649     0.2751559
7607   56902     762     0.29084033
6697   56419     806     0.07675634
4360   55539     302     0.19816586
3588   55184     330     0.20600078
4360   55539     310     0.28838208
4360   55539     311     0.27429047
7604   56947     462     0.15133007
5049   56103     913     0.051833317000000004
5053   56213     250     0.14105253
4366   55536     984     0.31191126
6697   56419     854     0.28776473
5969   56069     570     0.20871437
3606   55182     708     0.29583567
4360   55539     336     0.2806012
4363   55537     660     0.29616709999999996
4367   55566     12     0.14528906
4367   55566     16     0.11518259
4360   55539     352     0.24947879
4367   55566     18     0.25855520000000004
5049   56103     961     0.31614706
5962   56265     945     0.29684442
7604   56947     525     0.26836827
3606   55182     752     0.22615927
4360   55539     378     0.24701774
5049   56103     988     0.13286585
5966   56101     285     0.19987032
4360   55539     388     0.2379609
7611   56946     209     0.24915029999999996
3606   55182     777     0.115302555
10000   57346     113     0.24171363
4367   55566     75     0.2589471
7604   56947     557     0.07522562
7611   56946     232     0.005911965
5046   56243     696     0.24188931
5050   56215     42     0.07952206
4363   55537     766     0.27192324
6694   56386     633     0.25477663
3606   55182     827     0.16503723
5050   56215     60     0.07843901
7604   56947     595     0.036716055
7611   56946     276     0.17095833
4360   55539     487     0.12021586
4360   55539     496     0.073400356
3588   55184     525     0.20164351
5963   56191     88     0.27056354
6691   56413     383     0.3054378
10000   57346     241     0.28632557
6691   56413     408     0.30306500000000003
5963   56191     158     0.271883
5966   56101     444     0.07003228
4367   55566     254     0.26381192
6691   56413     468     0.25506523
5053   56213     558     0.27630866
6691   56413     479     0.2867967
3606   55182     991     0.2619772
4367   55566     280     0.21620557
5966   56101     465     0.2587312
6691   56413     489     0.28954515
5046   56243     914     0.17374389
4360   55539     624     0.31009164
5963   56191     202     0.25719914
3609   55201     12     0.15205379
5053   56213     590     0.08318099
5969   56069     874     0.20644189999999998
5046   56243     928     0.025285977999999997
4367   55566     308     0.21557878
4360   55539     648     0.31498533
6691   56413     544     0.2915688
5046   56243     974     0.31117937
4367   55566     368     0.27114975
5050   56215     251     0.24198577
5053   56213     660     0.30080816
5050   56215     254     0.07954673
4367   55566     380     0.31047140000000006
5963   56191     293     0.20124497
5963   56191     302     0.25430676
7608   56945     134     0.07978776
4360   55539     742     0.118948124
5966   56101     564     0.23412056
3609   55201     122     0.23963362
4367   55566     409     0.24780314
5053   56213     706     0.21707118
5053   56213     721     0.24481203
5966   56101     588     0.23392434
5047   55833     66     0.12416641
5053   56213     738     0.23441395
5963   56191     370     0.087398954
4360   55539     798     0.20537777
7604   56947     959     0.26276574
6691   56413     686     0.31989259999999997
5053   56213     776     0.06838004
5047   55833     118     0.28550515
5053   56213     778     0.2714188
7608   56945     194     0.3025494
4360   55539     840     0.19355471
5966   56101     622     0.2505883
5966   56101     626     0.09207573
7604   56947     1000     0.3073841
7605   56949     3     0.22990273
4367   55566     520     0.1327205
5966   56101     639     0.24693899
4360   55539     865     0.19475462
5966   56101     646     0.23936203
5966   56101     652     0.23844995
4364   55855     82     0.065463014
4364   55855     92     0.27339366
4360   55539     910     0.11662681400000001
5050   56215     390     0.06264045
4360   55539     944     0.11717854
4360   55539     949     0.28167367
4360   55539     950     0.30927005
4360   55539     952     0.28401282
4367   55566     594     0.08621919
4364   55855     132     0.21292064
4367   55566     608     0.31400952
6691   56413     848     0.31064093
6698   56637     476     0.28550488
5047   55833     282     0.18937258
5966   56101     741     0.20273145
4367   55566     632     0.31398472
5963   56191     609     0.12658633
5966   56101     757     0.24251355
7611   56946     799     0.26420972
4367   55566     648     0.27938792
6691   56413     910     0.2924578
5047   55833     335     0.15482725
3588   55184     913     0.26973236
4367   55566     670     0.2892342
5963   56191     654     0.20004029999999998
5966   56101     794     0.24262406
5047   55833     380     0.16792087
4361   55831     90     0.27402009999999993
5963   56191     670     0.16913669
6698   56637     572     0.10129028
5047   55833     418     0.09202533
7608   56945     414     0.130712
6692   56390     10     0.2997708
6695   56628     144     0.06406822
4361   55831     166     0.2738374
5966   56101     857     0.21260610000000002
5970   56046     332     0.1932595
3609   55201     470     0.15527715
10000   57346     904     0.16543151
5970   56046     352     0.26482436
4361   55831     200     0.30452475
10000   57346     946     0.16512264
5966   56101     918     0.31431509999999996
5054   56191     158     0.15646183
4367   55566     872     0.25908282
5054   56191     194     0.14499214
5963   56191     914     0.21298341
5054   56191     208     0.24103045
4367   55566     922     0.31711528
5054   56191     212     0.16628206
5054   56191     220     0.0025161966
6692   56390     236     0.31174177
7612   56972     87     0.10247796
5967   56063     20     0.037098132
5970   56046     511     0.0031172697999999996
4361   55831     380     0.31468242
7612   56972     88     0.10408603400000001
4367   55566     947     0.21560708
4364   55855     461     0.21818583
5050   56215     752     0.30589855
4361   55831     408     0.013450011999999999
4367   55566     956     0.21529885
5967   56063     49     0.26440728
6692   56390     284     0.006620187
7605   56949     574     0.07704152
3589   55186     215     0.30417246
6692   56390     308     0.31918707
4361   55831     464     0.031972863
3586   55181     179     0.30744892
5970   56046     588     0.25553304
5054   56191     304     0.29779348
4364   55855     554     0.28990626
5054   56191     322     0.21846984
7605   56949     669     0.31263754
6695   56628     446     0.29335698
4364   55855     600     0.10026979
5054   56191     366     0.2171901
5050   56215     914     0.17129533
3586   55181     316     0.07549436400000001
5054   56191     409     0.14966957
3589   55186     368     0.01917111
6699   56411     1     0.3191447
3609   55201     860     0.113023795
4368   55559     156     0.31398190000000004
3609   55201     872     0.019753418999999998
4361   55831     660     0.16186784
3589   55186     436     0.23813337
6699   56411     58     0.2877034
4368   55559     193     0.13891448
5970   56046     773     0.24673672
6692   56390     562     0.26941909999999997
5970   56046     790     0.29037362
4368   55559     230     0.18065076
5970   56046     812     0.3137632
5964   56098     290     0.25630268
3586   55181     433     0.29017943
4368   55559     242     0.21468802
5970   56046     826     0.2647505
4361   55831     738     0.30480492
4361   55831     746     0.30595785
5054   56191     563     0.06172712
4361   55831     749     0.29944405
5051   56214     96     0.108057536
3589   55186     522     0.16551842
3586   55181     472     0.046100933
4364   55855     816     0.17863929999999997
4361   55831     761     0.30194578
3586   55181     475     0.31386578
3589   55186     530     0.10640806
4368   55559     304     0.21395233
6692   56390     630     0.31990987
3589   55186     534     0.114067554
4361   55831     764     0.29944637
6699   56411     178     0.28083643
5054   56191     608     0.2652962
4361   55831     778     0.30071878
4364   55855     844     0.11022974
5970   56046     932     0.29604867
5048   56218     78     0.08534034
4368   55559     360     0.25891590000000003
4361   55831     789     0.30289245
6699   56411     236     0.02674441
4361   55831     818     0.28908363
5048   56218     114     0.16253355
5051   56214     182     0.29600704
6699   56411     271     0.20566109999999999
4368   55559     406     0.25939608
5048   56218     120     0.08062225
5048   56218     126     0.24482375
4361   55831     850     0.23769291
5051   56214     212     0.15783027
5054   56191     748     0.13358265
3615   55179     176     0.23845212
4364   55855     944     0.16067334
6692   56390     756     0.0
4364   55855     952     0.2446471
3589   55186     673     0.15082562
4368   55559     502     0.18699977
4361   55831     908     0.20769952
5967   56063     538     0.24262087
3589   55186     690     0.24121502
5970   56072     108     0.3096792
5048   56218     227     0.30022459999999995
4361   55831     946     0.28073528
5051   56214     286     0.15309253
5054   56191     856     0.29190606
7606   56977     122     0.07773056
3615   55179     290     0.069708034
5054   56191     872     0.3192438
4361   55831     980     0.13827643
4365   55539     40     0.29947296
4368   55559     628     0.22614510000000002
4362   55828     26     0.26185155
4362   55828     34     0.3046729
6695   56628     968     0.28750595
5054   56191     936     0.3112823
3586   55181     774     0.19531041
4368   55559     664     0.21585517
6692   56390     932     0.2660633
7606   56977     232     0.039281063
4368   55559     672     0.10905761
5964   56098     659     0.13082149999999998
5967   56063     722     0.2672952
6692   56390     949     0.31872252
5048   56218     374     0.23795117
6699   56411     546     0.21503642
6699   56411     561     0.09716456
5964   56098     692     0.317623
4368   55559     712     0.07649166
6692   56390     998     0.2691892
5055   55889     16     0.23506491
3586   55181     860     0.22083065
6699   56411     594     0.31186914
7612   56972     893     0.101697505
6693   56384     30     0.29041004
3586   55181     904     0.2245175
5055   55889     49     0.26026535
4362   55828     211     0.1704842
5048   56218     500     0.08289469
5051   56214     562     0.26604867
5964   56098     787     0.09177858400000001
6696   56398     154     0.0047969436
5048   56218     522     0.12473615
5964   56098     810     1.1256323e-05
4362   55828     260     0.116322935
5048   56218     552     0.27576333
3586   55181     979     0.22679617
5048   56218     560     0.1906874
5964   56098     852     0.28957972
7606   56977     445     0.0
4365   55539     374     0.009417601999999999
4365   55539     382     0.09420695
5964   56098     883     0.16472602
3587   55182     24     0.23884815
4365   55539     419     0.31462124
5055   55889     128     0.075707756
6693   56384     182     0.13439356
4362   55828     318     0.257538
4368   55559     861     0.24524038
3587   55182     58     0.11250115
5048   56218     634     0.19416024
4362   55828     346     0.24462412
5968   56356     38     0.19643128
5055   55889     168     0.074916035
5055   55889     170     0.31082496
6693   56384     224     0.21695761
4368   55559     882     0.058228392000000004
5055   55889     182     0.20289586
4368   55559     897     0.3133652
4368   55559     920     0.11663891400000001
5968   56356     86     0.08703868
6693   56384     266     0.21766838
3590   55201     229     0.27004302
5964   56098     990     0.30611736
3587   55182     133     0.045024678
4368   55559     952     0.005431887
5051   56214     822     0.29980004
3587   55182     148     0.044939384000000006
6699   56411     822     0.2793275
5051   56214     838     0.2426506
5970   56072     541     0.0
4368   55559     972     0.1560364
7606   56977     602     0.0372707
6696   56398     422     0.23405908
4368   55559     984     0.21913058
5051   56214     856     0.07485874
6696   56398     440     0.25674389999999997
4369   55827     6     0.12571207
5970   56072     596     0.25546297
5051   56214     882     0.24281278
4362   55828     511     0.20430559
5968   56356     172     0.19426258
5968   56356     176     0.25123134
6699   56411     908     0.07780008
5055   55889     338     0.07966751
3587   55182     241     0.07308422
7613   56988     211     0.28836113
6699   56411     930     0.28275406
5051   56214     932     0.29731062
5051   56214     934     0.30785006
