# PLATE   MJD     FIBERID   Z   
5046   56243     589     0.10321079999999999
6014   56072     756     0.03734256
5046   56243     603     0.2632412
6014   56072     796     0.13325265
7604   56947     487     0.038456816
10000   57346     60     0.049068093
5962   56265     946     0.12201278
6744   56399     177     0.06432614
10000   57346     110     0.22849046
7665   57328     466     0.014694481
10000   57346     119     0.10527985
7604   56947     595     0.036716055
7604   56947     614     0.03891314
5963   56191     77     0.20356785
4360   55539     524     0.1053316
6691   56413     390     0.15108829999999998
7604   56947     704     0.09192080000000001
6015   56096     54     0.1332198
5135   55862     782     0.18955137
6691   56413     461     0.08271925
5135   55862     857     0.16892397
5135   55862     860     0.07245052
7604   56947     805     0.05422449
6744   56399     476     0.09571422
10000   57346     442     0.105694115
5135   55862     945     0.070637845
7665   57328     815     0.22049487
6691   56413     646     0.04899089
7604   56947     944     0.048783265
5047   55833     142     0.16397163
10000   57346     580     0.20227538
7605   56949     44     0.07622871
4413   55894     788     0.039735705
6015   56096     414     0.26972675
4360   55539     995     0.012356231
10000   57346     719     0.034955155
6691   56413     884     0.02559406
10000   57346     784     0.13198338
7605   56949     232     0.26393777
3681   55243     626     0.021960186
6015   56096     503     0.014794094499999999
5136   55836     250     0.013948143
6015   56096     559     0.24017577
6015   56096     574     0.07130633
5136   55836     333     0.24750404
7666   57339     241     0.036151964
5136   55836     398     0.15474214
5047   55833     633     0.22120044
6015   56096     750     0.15296037
6745   56425     44     0.0069320556000000005
6745   56425     49     0.054205205
4361   55831     408     0.013450011999999999
6692   56390     284     0.006620187
6692   56390     301     0.11837156
3681   55243     933     0.21604604
7605   56949     603     0.09648686
7605   56949     608     0.032153934
4414   55882     270     0.06618419
7605   56949     646     0.30183545
7605   56949     674     0.03243446
7666   57339     451     0.03594334
7666   57339     462     0.05893923
6015   56096     905     0.11618558
6015   56096     909     0.030274762
5964   56098     164     0.05833116
6015   56096     920     0.031517338
6692   56390     466     0.27888104
7605   56949     765     0.09709411
6015   56096     949     0.033779982
5136   55836     677     0.21333398
7605   56949     811     0.036515843
6692   56390     540     0.07241844
5047   55833     974     0.08100751
4414   55882     436     0.2656903
5047   55833     991     0.15311405
3682   55244     174     0.24276292
5136   55836     756     0.05928578
4414   55882     480     0.041814618
5964   56098     305     0.085648
3586   55181     452     0.05966088
6692   56390     618     0.23328371
6016   56073     91     0.050483665999999996
6016   56073     115     0.03888581
6016   56073     176     0.09237928
7666   57339     758     0.011018413999999999
3586   55181     522     0.25619233
5136   55836     913     0.21331643
6745   56425     496     0.02564345
7606   56977     2     0.048803575
6692   56390     722     0.3183762
7666   57339     841     0.034265697000000005
3682   55244     430     0.1097002
7606   56977     77     0.01134241
4414   55882     786     0.08033422400000001
3586   55181     674     0.18158677
3586   55181     716     0.23515996
3682   55244     562     0.024692053
4414   55882     870     0.0625711
6745   56425     834     0.10771549
